stationid,PARAMETER,Regression,Mann-Kendall,agreement,,% in agreement
BEELTUFD,pH (epilimnion),Stable,Stable,Agree,,
BEELTUFD,Transparency,Stable,Stable,Agree,,
BEELTUFD,Conductivity,Worsening,Worsening,Agree,,
BEELTUFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
BEELTUFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
BERFRED,Chlorophyll-a,Stable,Stable,Agree,,
BERFRED,pH (epilimnion),Stable,Stable,Agree,,
BERFRED,Transparency,Stable,Stable,Agree,,
BERFRED,Conductivity,Worsening,Worsening,Agree,,
BERFRED,Phosphorus (epilimnion),Stable,Stable,Agree,,
BERFRED,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
BLASUTD,Chlorophyll-a,Stable,Stable,Agree,,
BLASUTD,pH (epilimnion),Stable,Stable,Agree,,
BLASUTD,Transparency,Improving,Improving,Agree,,
BLASUTD,Conductivity,Worsening,Worsening,Agree,,
BLASUTD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
BLASUTD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
BOWSFFD,Chlorophyll-a,Stable,Stable,Agree,,
BOWSFFD,pH (epilimnion),Stable,Stable,Agree,,
BOWSFFD,Transparency,Stable,Stable,Agree,,
BOWSFFD,Conductivity,Worsening,Worsening,Agree,,
BOWSFFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
BOWSFFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
BRAANDD,Chlorophyll-a,Stable,Stable,Agree,,
BRAANDD,pH (epilimnion),Improving,Improving,Agree,,
BRAANDD,Transparency,Stable,Stable,Agree,,
BRAANDD,Conductivity,Stable,Stable,Agree,,
BRAANDD,Phosphorus (epilimnion),Stable,Stable,Agree,,
BRAANDD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
BROOSSD,Chlorophyll-a,Improving,Worsening,Disagree,,
BROOSSD,pH (epilimnion),Stable,Stable,Agree,,
BROOSSD,Transparency,Worsening,Improving,Disagree,,
BROOSSD,Conductivity,Worsening,Worsening,Agree,,
BROOSSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
BROOSSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CANCAND,Chlorophyll-a,Stable,Worsening,Disagree,,
CANCAND,pH (epilimnion),Stable,Stable,Agree,,
CANCAND,Transparency,Improving,Stable,Disagree,,
CANCAND,Conductivity,Worsening,Worsening,Agree,,
CANCAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
CANCAND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CANWIND,Chlorophyll-a,Improving,Worsening,Disagree,,
CANWIND,pH (epilimnion),Stable,Stable,Agree,,
CANWIND,Transparency,Stable,Stable,Agree,,
CANWIND,Conductivity,Worsening,Worsening,Agree,,
CANWIND,Phosphorus (epilimnion),Stable,Stable,Agree,,
CANWIND,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
CAPSALD,Chlorophyll-a,Stable,Stable,Agree,,
CAPSALD,pH (epilimnion),Stable,Improving,Disagree,,
CAPSALD,Transparency,Stable,Stable,Agree,,
CAPSALD,Conductivity,Stable,Stable,Agree,,
CAPSALD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CAPSALD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CENSTDD,Chlorophyll-a,Stable,Stable,Agree,,
CENSTDD,pH (epilimnion),Worsening,Improving,Disagree,,
CENSTDD,Transparency,Improving,Improving,Agree,,
CENSTDD,Conductivity,Improving,Worsening,Disagree,,
CENSTDD,Phosphorus (epilimnion),Improving,Worsening,Disagree,,
CENSTDD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
CHANBYD,Chlorophyll-a,Stable,Stable,Agree,,
CHANBYD,pH (epilimnion),Improving,Improving,Agree,,
CHANBYD,Transparency,Stable,Improving,Disagree,,
CHANBYD,Conductivity,Worsening,Worsening,Agree,,
CHANBYD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CHANBYD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CHASULD,Chlorophyll-a,Improving,Worsening,Disagree,,
CHASULD,pH (epilimnion),Improving,Improving,Agree,,
CHASULD,Transparency,Stable,Stable,Agree,,
CHASULD,Conductivity,Worsening,Worsening,Agree,,
CHASULD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CHASULD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
CHAWLMD,Chlorophyll-a,Improving,Stable,Disagree,,
CHAWLMD,pH (epilimnion),Stable,Stable,Agree,,
CHAWLMD,Transparency,Stable,Stable,Agree,,
CHAWLMD,Conductivity,Worsening,Worsening,Agree,,
CHAWLMD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CHAWLMD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CHEEPSD,Chlorophyll-a,Improving,Worsening,Disagree,,
CHEEPSD,pH (epilimnion),Improving,Improving,Agree,,
CHEEPSD,Transparency,Stable,Stable,Agree,,
CHEEPSD,Conductivity,Stable,Stable,Agree,,
CHEEPSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CHEEPSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CLEHOPD,Chlorophyll-a,Stable,Stable,Agree,,
CLEHOPD,pH (epilimnion),Stable,Stable,Agree,,
CLEHOPD,Transparency,Stable,Stable,Agree,,
CLEHOPD,Conductivity,Worsening,Worsening,Agree,,
CLEHOPD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CLEHOPD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CLOLOUD,Chlorophyll-a,Stable,Stable,Agree,,
CLOLOUD,pH (epilimnion),Stable,Stable,Agree,,
CLOLOUD,Transparency,Stable,Stable,Agree,,
CLOLOUD,Conductivity,Worsening,Worsening,Agree,,
CLOLOUD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CLOLOUD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
COBWINND,Chlorophyll-a,Stable,Stable,Agree,,
COBWINND,pH (epilimnion),Stable,Stable,Agree,,
COBWINND,Transparency,Worsening,Improving,Disagree,,
COBWINND,Conductivity,Worsening,Worsening,Agree,,
COBWINND,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
COBWINND,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
COBWINSD,Chlorophyll-a,Stable,Stable,Agree,,
COBWINSD,pH (epilimnion),Stable,Stable,Agree,,
COBWINSD,Transparency,Worsening,Improving,Disagree,,
COBWINSD,Conductivity,Worsening,Worsening,Agree,,
COBWINSD,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
COBWINSD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
COLANDD,Chlorophyll-a,Stable,Stable,Agree,,
COLANDD,pH (epilimnion),Stable,Stable,Agree,,
COLANDD,Transparency,Worsening,Stable,Disagree,,
COLANDD,Conductivity,Improving,Worsening,Disagree,,
COLANDD,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
COLANDD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
CONHSBD,Chlorophyll-a,Stable,Stable,Agree,,
CONHSBD,pH (epilimnion),Stable,Stable,Agree,,
CONHSBD,Transparency,Stable,Stable,Agree,,
CONHSBD,Conductivity,Stable,Stable,Agree,,
CONHSBD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CONHSBD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CONJAFD,Chlorophyll-a,Improving,Worsening,Disagree,,
CONJAFD,pH (epilimnion),Stable,Stable,Agree,,
CONJAFD,Transparency,Stable,Stable,Agree,,
CONJAFD,Conductivity,Worsening,Worsening,Agree,,
CONJAFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CONJAFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CONOSSD,Chlorophyll-a,Stable,Stable,Agree,,
CONOSSD,pH (epilimnion),Stable,Improving,Disagree,,
CONOSSD,Transparency,Stable,Stable,Agree,,
CONOSSD,Conductivity,Stable,Stable,Agree,,
CONOSSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CONOSSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CREACWD,Chlorophyll-a,Stable,Stable,Agree,,
CREACWD,pH (epilimnion),Stable,Stable,Agree,,
CREACWD,Transparency,Worsening,Improving,Disagree,,
CREACWD,Conductivity,Worsening,Worsening,Agree,,
CREACWD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CREACWD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CRYGLMD,Chlorophyll-a,Improving,Worsening,Disagree,,
CRYGLMD,pH (epilimnion),Stable,Stable,Agree,,
CRYGLMD,Transparency,Stable,Stable,Agree,,
CRYGLMD,Conductivity,Worsening,Worsening,Agree,,
CRYGLMD,Phosphorus (epilimnion),Stable,Stable,Agree,,
CRYGLMD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
CRYMAND,Chlorophyll-a,Stable,Stable,Agree,,
CRYMAND,pH (epilimnion),Stable,Stable,Agree,,
CRYMAND,Transparency,Stable,Stable,Agree,,
CRYMAND,Conductivity,Worsening,Worsening,Agree,,
CRYMAND,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
CRYMAND,Phosphorus (hypolimnion),Worsening,Stable,Disagree,,
DANLFRED,Chlorophyll-a,Stable,Stable,Agree,,
DANLFRED,pH (epilimnion),Stable,Stable,Agree,,
DANLFRED,Transparency,Stable,Stable,Agree,,
DANLFRED,Conductivity,Worsening,Worsening,Agree,,
DANLFRED,Phosphorus (epilimnion),Stable,Stable,Agree,,
DANLFRED,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
DEEDRGD,Chlorophyll-a,Stable,Stable,Agree,,
DEEDRGD,pH (epilimnion),Stable,Stable,Agree,,
DEEDRGD,Transparency,Stable,Stable,Agree,,
DEEDRGD,Conductivity,Worsening,Worsening,Agree,,
DEEDRGD,Phosphorus (epilimnion),Stable,Stable,Agree,,
DEEDRGD,Phosphorus (hypolimnion),Improving,Stable,Disagree,,
DORMAND,Chlorophyll-a,Improving,Stable,Disagree,,
DORMAND,pH (epilimnion),Stable,Stable,Agree,,
DORMAND,Transparency,Stable,Stable,Agree,,
DORMAND,Conductivity,Stable,Stable,Agree,,
DORMAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
DORMAND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
DUBDUBD,Chlorophyll-a,Stable,Stable,Agree,,
DUBDUBD,pH (epilimnion),Stable,Stable,Agree,,
DUBDUBD,Transparency,Stable,Stable,Agree,,
DUBDUBD,Conductivity,Stable,Stable,Agree,,
DUBDUBD,Phosphorus (epilimnion),Stable,Stable,Agree,,
DUBDUBD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
DUTSPRD,Chlorophyll-a,Stable,Stable,Agree,,
DUTSPRD,pH (epilimnion),Improving,Improving,Agree,,
DUTSPRD,Transparency,Stable,Stable,Agree,,
DUTSPRD,Conductivity,Improving,Worsening,Disagree,,
DUTSPRD,Phosphorus (epilimnion),Stable,Stable,Agree,,
DUTSPRD,Phosphorus (hypolimnion),Stable,Worsening,Disagree,,
EASGTMD,Chlorophyll-a,Improving,Worsening,Disagree,,
EASGTMD,pH (epilimnion),Stable,Stable,Agree,,
EASGTMD,Transparency,Improving,Improving,Agree,,
EASGTMD,Conductivity,Worsening,Worsening,Agree,,
EASGTMD,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
EASGTMD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
EMERIND,Chlorophyll-a,Stable,Stable,Agree,,
EMERIND,pH (epilimnion),Stable,Improving,Disagree,,
EMERIND,Transparency,Stable,Stable,Agree,,
EMERIND,Conductivity,Worsening,Worsening,Agree,,
EMERIND,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
EMERIND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
FLIHLSD,Chlorophyll-a,Stable,Stable,Agree,,
FLIHLSD,pH (epilimnion),Stable,Improving,Disagree,,
FLIHLSD,Transparency,Stable,Stable,Agree,,
FLIHLSD,Conductivity,Worsening,Worsening,Agree,,
FLIHLSD,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
FLIHLSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
FORDALD,Chlorophyll-a,Stable,Stable,Agree,,
FORDALD,pH (epilimnion),Stable,Stable,Agree,,
FORDALD,Transparency,Worsening,Improving,Disagree,,
FORDALD,Conductivity,Worsening,Worsening,Agree,,
FORDALD,Phosphorus (epilimnion),Stable,Stable,Agree,,
FORDALD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
FORWCHD,Chlorophyll-a,Stable,Stable,Agree,,
FORWCHD,pH (epilimnion),Stable,Stable,Agree,,
FORWCHD,Transparency,Improving,Improving,Agree,,
FORWCHD,Conductivity,Improving,Worsening,Disagree,,
FORWCHD,Phosphorus (epilimnion),Stable,Stable,Agree,,
FORWCHD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
FRAHSBD,Chlorophyll-a,Stable,Stable,Agree,,
FRAHSBD,pH (epilimnion),Stable,Stable,Agree,,
FRAHSBD,Transparency,Stable,Stable,Agree,,
FRAHSBD,Conductivity,Stable,Stable,Agree,,
FRAHSBD,Phosphorus (epilimnion),Stable,Stable,Agree,,
FRAHSBD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
FREHEND,Chlorophyll-a,Worsening,Worsening,Agree,,
FREHEND,pH (epilimnion),Stable,Stable,Agree,,
FREHEND,Transparency,Worsening,Improving,Disagree,,
FREHEND,Conductivity,Worsening,Worsening,Agree,,
FREHEND,Phosphorus (epilimnion),Stable,Stable,Agree,,
FREHEND,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
FROJAFD,Chlorophyll-a,Stable,Stable,Agree,,
FROJAFD,pH (epilimnion),Stable,Stable,Agree,,
FROJAFD,Transparency,Stable,Stable,Agree,,
FROJAFD,Conductivity,Stable,Worsening,Disagree,,
FROJAFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
FROJAFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GARBATD,Chlorophyll-a,Stable,Stable,Agree,,
GARBATD,pH (epilimnion),Stable,Stable,Agree,,
GARBATD,Transparency,Improving,Improving,Agree,,
GARBATD,Conductivity,Stable,Stable,Agree,,
GARBATD,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
GARBATD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GARMOUD,Chlorophyll-a,Stable,Stable,Agree,,
GARMOUD,pH (epilimnion),Stable,Stable,Agree,,
GARMOUD,Transparency,Stable,Stable,Agree,,
GARMOUD,Conductivity,Worsening,Stable,Disagree,,
GARMOUD,Phosphorus (epilimnion),Stable,Stable,Agree,,
GARMOUD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GILJAFD,Chlorophyll-a,Stable,Stable,Agree,,
GILJAFD,pH (epilimnion),Stable,Improving,Disagree,,
GILJAFD,Transparency,Worsening,Improving,Disagree,,
GILJAFD,Conductivity,Stable,Stable,Agree,,
GILJAFD,Phosphorus (epilimnion),Stable,Stable,Agree,,
GILJAFD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GOOCAND,Chlorophyll-a,Stable,Stable,Agree,,
GOOCAND,pH (epilimnion),Improving,Stable,Disagree,,
GOOCAND,Transparency,Stable,Stable,Agree,,
GOOCAND,Conductivity,Stable,Worsening,Disagree,,
GOOCAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
GOOCAND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GOUHSBD,Chlorophyll-a,Stable,Stable,Agree,,
GOUHSBD,pH (epilimnion),Worsening,Improving,Disagree,,
GOUHSBD,Transparency,Stable,Stable,Agree,,
GOUHSBD,Conductivity,Worsening,Worsening,Agree,,
GOUHSBD,Phosphorus (epilimnion),Stable,Stable,Agree,,
GOUHSBD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GOVRAYD,Chlorophyll-a,Improving,Worsening,Disagree,,
GOVRAYD,pH (epilimnion),Stable,Stable,Agree,,
GOVRAYD,Transparency,Stable,Stable,Agree,,
GOVRAYD,Conductivity,Worsening,Worsening,Agree,,
GOVRAYD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
GOVRAYD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GRASTDD,Chlorophyll-a,Stable,Stable,Agree,,
GRASTDD,pH (epilimnion),Stable,Stable,Agree,,
GRASTDD,Transparency,Stable,Stable,Agree,,
GRASTDD,Conductivity,Worsening,Worsening,Agree,,
GRASTDD,Phosphorus (epilimnion),Stable,Stable,Agree,,
GRASTDD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GREANTD,Chlorophyll-a,Stable,Stable,Agree,,
GREANTD,pH (epilimnion),Stable,Stable,Agree,,
GREANTD,Transparency,Stable,Stable,Agree,,
GREANTD,Conductivity,Improving,Worsening,Disagree,,
GREANTD,Phosphorus (epilimnion),Stable,Stable,Agree,,
GREANTD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
GRTKINND,Chlorophyll-a,Stable,Worsening,Disagree,,
GRTKINND,pH (epilimnion),Stable,Stable,Agree,,
GRTKINND,Transparency,Improving,Stable,Disagree,,
GRTKINND,Conductivity,Worsening,Worsening,Agree,,
GRTKINND,Phosphorus (epilimnion),Worsening,Worsening,Agree,,
GRTKINND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
GRTKINSD,Chlorophyll-a,Stable,Stable,Agree,,
GRTKINSD,pH (epilimnion),Stable,Stable,Agree,,
GRTKINSD,Transparency,Improving,Improving,Agree,,
GRTKINSD,Conductivity,Worsening,Worsening,Agree,,
GRTKINSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
GRTKINSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HALALTD,Chlorophyll-a,Stable,Stable,Agree,,
HALALTD,pH (epilimnion),Stable,Stable,Agree,,
HALALTD,Transparency,Stable,Stable,Agree,,
HALALTD,Conductivity,Worsening,Worsening,Agree,,
HALALTD,Phosphorus (epilimnion),Stable,Stable,Agree,,
HALALTD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
HALWASD,Chlorophyll-a,Stable,Stable,Agree,,
HALWASD,pH (epilimnion),Stable,Stable,Agree,,
HALWASD,Transparency,Stable,Stable,Agree,,
HALWASD,Conductivity,Stable,Worsening,Disagree,,
HALWASD,Phosphorus (epilimnion),Stable,Stable,Agree,,
HALWASD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HARCSTD,Chlorophyll-a,Stable,Stable,Agree,,
HARCSTD,pH (epilimnion),Stable,Stable,Agree,,
HARCSTD,Transparency,Stable,Stable,Agree,,
HARCSTD,Conductivity,Worsening,Worsening,Agree,,
HARCSTD,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
HARCSTD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HARHARD,Chlorophyll-a,Stable,Stable,Agree,,
HARHARD,pH (epilimnion),Improving,Improving,Agree,,
HARHARD,Transparency,Stable,Stable,Agree,,
HARHARD,Conductivity,Stable,Stable,Agree,,
HARHARD,Phosphorus (epilimnion),Stable,Stable,Agree,,
HARHARD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HARNORD,Chlorophyll-a,Stable,Stable,Agree,,
HARNORD,pH (epilimnion),Stable,Stable,Agree,,
HARNORD,Transparency,Stable,Stable,Agree,,
HARNORD,Conductivity,Worsening,Worsening,Agree,,
HARNORD,Phosphorus (epilimnion),Stable,Stable,Agree,,
HARNORD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HAUFRSD,Chlorophyll-a,Stable,Stable,Agree,,
HAUFRSD,pH (epilimnion),Stable,Stable,Agree,,
HAUFRSD,Transparency,Stable,Stable,Agree,,
HAUFRSD,Conductivity,Stable,Stable,Agree,,
HAUFRSD,Phosphorus (epilimnion),Stable,Stable,Agree,,
HAUFRSD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
HAWCEND,Chlorophyll-a,Stable,Stable,Agree,,
HAWCEND,pH (epilimnion),Stable,Stable,Agree,,
HAWCEND,Transparency,Worsening,Stable,Disagree,,
HAWCEND,Conductivity,Stable,Stable,Agree,,
HAWCEND,Phosphorus (epilimnion),Stable,Stable,Agree,,
HAWCEND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HERSAND,Chlorophyll-a,Stable,Stable,Agree,,
HERSAND,pH (epilimnion),Stable,Stable,Agree,,
HERSAND,Transparency,Worsening,Improving,Disagree,,
HERSAND,Conductivity,Stable,Stable,Agree,,
HERSAND,Phosphorus (epilimnion),Stable,Stable,Agree,,
HERSAND,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HIGANDD,Chlorophyll-a,Stable,Stable,Agree,,
HIGANDD,pH (epilimnion),Stable,Stable,Agree,,
HIGANDD,Transparency,Stable,Stable,Agree,,
HIGANDD,Conductivity,Worsening,Worsening,Agree,,
HIGANDD,Phosphorus (epilimnion),Stable,Stable,Agree,,
HIGANDD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
HIGSTDND,Chlorophyll-a,Improving,Worsening,Disagree,,
HIGSTDND,pH (epilimnion),Stable,Stable,Agree,,
HIGSTDND,Transparency,Stable,Stable,Agree,,
HIGSTDND,Conductivity,Stable,Stable,Agree,,
HIGSTDND,Phosphorus (epilimnion),Improving,Stable,Disagree,,
HIGSTDND,Phosphorus (hypolimnion),Improving,Stable,Disagree,,
HIGSTDSD,Chlorophyll-a,Stable,Stable,Agree,,
HIGSTDSD,pH (epilimnion),Improving,Improving,Agree,,
HIGSTDSD,Transparency,Stable,Stable,Agree,,
HIGSTDSD,Conductivity,Stable,Stable,Agree,,
HIGSTDSD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
HIGSTDSD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
HILALTD,Chlorophyll-a,Stable,Stable,Agree,,
HILALTD,pH (epilimnion),Stable,Stable,Agree,,
HILALTD,Transparency,Stable,Stable,Agree,,
HILALTD,Conductivity,Worsening,Worsening,Agree,,
HILALTD,Phosphorus (epilimnion),Worsening,Stable,Disagree,,
HILALTD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ISLDERD,Chlorophyll-a,Stable,Worsening,Disagree,,
ISLDERD,pH (epilimnion),Stable,Stable,Agree,,
ISLDERD,Transparency,Stable,Stable,Agree,,
ISLDERD,Conductivity,Worsening,Worsening,Agree,,
ISLDERD,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
ISLDERD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ISLSTDVLAPD,Chlorophyll-a,Improving,Stable,Disagree,,
ISLSTDVLAPD,pH (epilimnion),Stable,Stable,Agree,,
ISLSTDVLAPD,Transparency,Stable,Stable,Agree,,
ISLSTDVLAPD,Conductivity,Stable,Stable,Agree,,
ISLSTDVLAPD,Phosphorus (epilimnion),Improving,Stable,Disagree,,
ISLSTDVLAPD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
ISLWASD,Chlorophyll-a,Stable,Stable,Agree,,
ISLWASD,pH (epilimnion),Stable,Stable,Agree,,
ISLWASD,Transparency,Worsening,Stable,Disagree,,
ISLWASD,Conductivity,Stable,Stable,Agree,,
ISLWASD,Phosphorus (epilimnion),Stable,Stable,Agree,,
ISLWASD,Phosphorus (hypolimnion),Worsening,Worsening,Agree,,
IVAWAK1,Chlorophyll-a,Stable,Stable,Agree,,
IVAWAK1,pH (epilimnion),Worsening,Improving,Disagree,,
IVAWAK1,Transparency,Stable,Stable,Agree,,
IVAWAK1,Conductivity,Stable,Stable,Agree,,
IVAWAK1,Phosphorus (epilimnion),Stable,Worsening,Disagree,,
IVAWAK1,Phosphorus (hypolimnion),Stable,Stable,Agree,,
IVAWAKD,Chlorophyll-a,Stable,Stable,Agree,,
IVAWAKD,pH (epilimnion),Stable,Stable,Agree,,
IVAWAKD,Transparency,Stable,Stable,Agree,,
IVAWAKD,Conductivity,Stable,Stable,Agree,,
IVAWAKD,Phosphorus (epilimnion),Improving,Worsening,Disagree,,
IVAWAKD,Phosphorus (hypolimnion),Improving,Worsening,Disagree,,
JENNORD,Chlorophyll-a,Stable,Stable,Agree,,
JENNORD,pH (epilimnion),Improving,Improving,Agree,,
JENNORD,Transparency,Stable,Stable,Agree,,
JENNORD,Conductivity,Worsening,Stable,Disagree,,
JENNORD,Phosphorus (epilimnion),Stable,Stable,Agree,,
JENNORD,Phosphorus (hypolimnion),Stable,Stable,Agree,,
KATPIED,Chlorophyll-a,Stable,Stable,Agree,,
KATPIED,pH (epilimnion),Stable,Stable,Agree,,
KATPIED,Transparency,Stable,Stable,Agree,,
